Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
49,V881 Per,p,02 59 53.12,+38 01 48.26,K0IV,0.9120,0.0390,0.9750,0.0200,4.420,0.026,5200,,**,V881 Per
50,V881 Per,s,02 59 53.12,+38 01 48.26,K0IV,0.7480,0.0350,0.7080,0.0180,4.612,0.030,4330,25,**,V881 Per
51,CW Eri,p,03 03 59.95,-17 44 16.06,F1V,1.5830,0.0200,2.0930,0.0500,3.996,0.021,6840,86,*,CW Eri
52,CW Eri,s,03 03 59.95,-17 44 16.06,F4V,1.3270,0.0100,1.5690,0.0700,4.170,0.039,6561,100,**,CW Eri
53,V799 Cas,p,03 05 27.54,+61 39 17.69,B8V,3.0810,0.4000,3.2310,0.1400,3.908,0.068,11550,14,***,V799 Cas
54,V799 Cas,s,03 05 27.54,+61 39 17.69,B8.5V,2.9700,0.4000,3.2010,0.1400,3.901,0.070,11210,14,***,V799 Cas
55,AE For,p,03 08 06.66,-24 45 37.74,K7Ve,0.6314,0.0035,0.6700,0.0300,4.587,0.039,4100,,**,AE For
56,AE For,s,03 08 06.66,-24 45 37.74,K7Ve,0.6197,0.0034,0.6300,0.0300,4.632,0.041,4055,6,**,AE For
57,V570 Per,p,03 09 34.94,+48 37 28.70,F3V,1.4250,0.0060,1.4940,0.1100,4.243,0.064,6842,25,***,V570 Per
58,V570 Per,s,03 09 34.94,+48 37 28.70,F5V,1.3280,0.0060,1.3540,0.1100,4.298,0.071,6580,70,***,V570 Per
59,IM Per,p,03 11 42.31,+52 12 42.20,A7,1.7831,0.0094,2.4090,0.0180,3.926,0.007,7580,150,*,IM Per
60,IM Per,s,03 11 42.31,+52 12 42.20,A7,1.7741,0.0097,2.3660,0.0170,3.939,0.007,7570,160,*,IM Per
61,TV Cet,p,03 14 36.51,+02 45 16.40,F2V,1.3850,0.0520,1.4840,0.0200,4.237,0.020,6902,150,**,TV Cet
62,TV Cet,s,03 14 36.51,+02 45 16.40,F5V,1.2650,0.0510,1.2210,0.0100,4.367,0.019,6575,150,**,TV Cet
63,TZ For,p,03 14 40.09,-35 33 27.60,F7 III,1.9450,0.0300,3.9740,0.0900,3.529,0.021,6350,100,*,TZ For
64,TZ For,s,03 14 40.09,-35 33 27.60,G8III,2.0450,0.0600,8.3490,0.1200,2.906,0.018,5000,100,2,TZ For
65,SDSS-MEB-1,p,03 18 23.88,-01 00 18.40,M4V,0.2720,0.0200,0.2680,0.0090,5.017,0.043,3320,130,***,SDSS-MEB-1
66,SDSS-MEB-1,s,03 18 23.88,-01 00 18.40,M4V,0.2400,0.0220,0.2480,0.0080,5.030,0.049,3300,130,***,SDSS-MEB-1
67,MG1-78457,p,03 26 20.73,+03 12 36.29,M3V,0.5270,0.0020,0.5050,0.0080,4.754,0.014,3330,60,*,MOTESS-GNAT 78457
68,MG1-78457,s,03 26 20.73,+03 12 36.29,M4V,0.4910,0.0010,0.4710,0.0090,4.783,0.017,3270,60,*,MOTESS-GNAT 78457
69,GJ 3236,p,03 37 14.08,+69 10 49.79,M4V,0.3750,0.0160,0.3830,0.0060,4.846,0.023,3310,110,**,GJ 3236
70,GJ 3236,s,03 37 14.08,+69 10 49.79,M4V,0.2800,0.0150,0.2830,0.0040,4.982,0.026,3241,108,**,GJ 3236
71,EY Cep,p,03 40 04.07,+81 01 09.07,F0,1.5240,0.0080,1.4630,0.0100,4.291,0.006,7090,150,*,EY Cep
72,EY Cep,s,03 40 04.07,+81 01 09.07,F0,1.5000,0.0140,1.4680,0.0100,4.281,0.007,6970,150,*,EY Cep
73,V612 Tau,p,03 42 27.30,+22 34 24.88,M3,0.3019,0.0070,0.3410,0.0160,4.853,0.042,3230,100,**,V612 Tau
74,V612 Tau,s,03 42 27.30,+22 34 24.88,M3,0.2767,0.0068,0.3190,0.0130,4.873,0.037,3090,100,**,V612 Tau
75,EPIC 211075914,p,03 46 55.31,+24 11 16.90,M4.5,0.4100,0.1800,0.4600,0.1100,4.726,0.282,2970,,1,EPIC 211075914
76,EPIC 211075914,s,03 46 55.31,+24 11 16.90,M4.5,0.1720,0.0690,0.3210,0.0600,4.661,0.238,3000,,1,EPIC 211075914
77,V1229 Tau,p,03 47 29.45,+24 17 18.04,A0V,2.2030,0.0130,1.7270,0.0270,4.307,0.014,9950,,*,V1229 Tau
78,V1229 Tau,s,03 47 29.45,+24 17 18.04,Am,1.5488,0.0093,1.5030,0.0450,4.274,0.026,7281,9,*,V1229 Tau
79,V1130 Tau,p,03 50 41.94,+01 33 50.21,F0,1.3060,0.0080,1.4900,0.0100,4.208,0.006,6650,70,*,V1130 Tau
80,V1130 Tau,s,03 50 41.94,+01 33 50.21,F0,1.3920,0.0080,1.7840,0.0110,4.079,0.006,6625,70,*,V1130 Tau
81,IQ Per,p,03 59 44.68,+48 09 04.50,B7.5V,3.5130,0.0400,2.4650,0.0300,4.200,0.012,12300,200,*,IQ Per
82,IQ Per,s,03 59 44.68,+48 09 04.50,A6V,1.7330,0.0200,1.5090,0.0200,4.320,0.013,7670,100,*,IQ Per
83,CF Tau,p,04 05 10.13,+22 29 48.17,G0,1.2820,0.0090,2.7970,0.0110,3.653,0.005,5200,150,2,CF Tau
84,CF Tau,s,04 05 10.13,+22 29 48.17,G0,1.2520,0.0110,2.0480,0.0160,3.913,0.008,6000,150,2,CF Tau
85,AG Per,p,04 06 55.83,+33 26 46.93,B4V,4.4980,0.1340,3.0090,0.0700,4.135,0.024,18200,800,*,AG Per
86,AG Per,s,04 06 55.83,+33 26 46.93,B4V,4.0980,0.1090,2.6160,0.0700,4.216,0.026,17400,800,*,AG Per
87,SZ Cam,p,04 07 49.29,+62 19 58.58,O9IV,16.5900,0.6200,9.3600,0.0700,3.716,0.017,30408,240,**,SZ Cam
88,SZ Cam,s,04 07 49.29,+62 19 58.58,B0.5V,11.9500,0.7100,6.0000,0.0900,3.959,0.029,27319,300,**,SZ Cam
89,V1094 Tau,p,04 12 03.59,+21 56 50.55,G0,1.0965,0.0040,1.4109,0.0058,4.179,0.004,5850,100,*,V1094 Tau
90,V1094 Tau,s,04 12 03.59,+21 56 50.55,G0,1.0121,0.0028,1.1063,0.0066,4.356,0.005,5700,100,*,V1094 Tau
91,NP Per,p,04 14 57.76,+31 26 44.04,F5V,1.3207,0.0087,1.3720,0.0130,4.284,0.009,6420,90,*,NP Per
92,NP Per,s,04 14 57.76,+31 26 44.04,K5eV,1.0456,0.0046,1.2290,0.0130,4.279,0.009,4540,160,*,NP Per
93,V482 Per,p,04 15 41.32,+47 25 19.91,F2,1.5100,0.0500,2.3900,0.0400,3.861,0.020,6700,,**,V482 Per
94,V482 Per,s,04 15 41.32,+47 25 19.91,F45,1.2900,0.0500,1.4500,0.0400,4.226,0.029,6340,18,**,V482 Per
95,V818 Tau,p,04 17 38.94,+16 56 52.29,G6V,1.0470,0.1650,0.8980,0.1890,4.552,0.195,5470,,1,V818 Tau
96,V818 Tau,s,04 17 38.94,+16 56 52.29,K6V,0.7580,0.1080,0.7670,0.0990,4.548,0.128,3977,22,***,V818 Tau
97,WW Cam,p,04 31 25.28,+64 21 45.50,A4Vm,1.9200,0.0130,1.9130,0.0160,4.158,0.008,8360,140,*,WW Cam
98,WW Cam,s,04 31 25.28,+64 21 45.50,A4Vm,1.8730,0.0180,1.8100,0.0140,4.196,0.008,8240,140,*,WW Cam
99,2MASS J04463285+1901432,p,04 46 32.86,+19 01 43.20,M2.5V,0.4670,0.0500,0.5600,0.0200,4.611,0.056,3320,150,2,2MASS J04463285+1901432
100,2MASS J04463285+1901432,s,04 46 32.86,+19 01 43.20,M,0.1920,0.0200,0.2100,0.0100,5.077,0.061,2900,150,***,2MASS J04463285+1901432
101,MG1-116309,p,04 48 00.96,+03 17 48.09,K8V,0.5670,0.0020,0.5520,0.0080,4.708,0.013,3920,80,*,MOTESS-GNAT 116309
102,MG1-116309,s,04 48 00.96,+03 17 48.09,M0V,0.5320,0.0020,0.5320,0.0060,4.712,0.010,3810,80,*,MOTESS-GNAT 116309
103,TYC 4749-560-1,p,04 53 04.43,-07 00 23.47,K2,0.8340,0.0060,0.8480,0.0050,4.503,0.006,5340,200,*,TYC 4749-560-1
104,TYC 4749-560-1,s,04 53 04.43,-07 00 23.47,K4,0.8280,0.0060,0.8330,0.0050,4.515,0.006,5125,200,*,TYC 4749-560-1
105,HP Aur,p,05 10 21.78,+35 47 46.63,G2V,0.9543,0.0041,1.0278,0.0042,4.394,0.004,5810,120,*,HP Aur
106,HP Aur,s,05 10 21.78,+35 47 46.63,K1V,0.8094,0.0036,0.7758,0.0034,4.567,0.004,5160,120,*,HP Aur
107,V1236 Tau,p,05 16 28.81,+26 07 38.80,K7V,0.7880,0.0100,0.7660,0.0150,4.566,0.018,4200,200,*,V1236 Tau
108,V1236 Tau,s,05 16 28.81,+26 07 38.80,K7V,0.7710,0.0080,0.8030,0.0100,4.516,0.012,4133,250,*,V1236 Tau
109,CD Tau,p,05 17 31.15,+20 07 54.63,F6V,1.4410,0.0160,1.7980,0.0170,4.087,0.010,6200,50,*,CD Tau
